,Ship Positions,Time Values,Time to Correct,Drift Time Values,Distances Without Correction,Distances Without Correction 2
0,350000,1,0.0011666666666666668,0.0011666678333333332,408.33333333333337,408.33374166666664
1,30240350000,86401,100.80233333333334,100.80243413566666,35280816.66666667,35280851.94748333
2,60480350000,172801,302.4035,302.4038024035,105841225.0,105841330.841225
3,90720350000,259201,604.8046666666667,604.8052714713333,211681633.33333334,211681845.01496667
4,120960350000,345601,1008.0058333333334,1008.0068413391666,352802041.6666667,352802394.46870834
5,151200350000,432001,1512.007,1512.008512007,529202450.0,529202979.20245004
6,181440350000,518401,2116.8081666666667,2116.8102834748333,740882858.3333334,740883599.2161916
7,211680350000,604801,2822.4093333333335,2822.4121557426665,987843266.6666667,987844254.5099332
8,241920350000,691201,3628.8105,3628.8141288105,1270083675.0,1270084945.083675
9,272160350000,777601,4536.011666666666,4536.016202678333,1587604083.3333333,1587605670.9374166
10,302400350000,864001,5544.012833333333,5544.018377346166,1940404491.6666665,1940406432.071158
11,332640350000,950401,6652.814,6652.820652814,2328484900.0,2328487228.4849
12,362880350000,1036801,7862.415166666667,7862.423029081832,2751845308.3333335,2751848060.1786413
13,393120350000,1123201,9172.816333333334,9172.825506149667,3210485716.666667,3210488927.152384
14,423360350000,1209601,10584.0175,10584.028084017498,3704406125.0,3704409829.4061246
15,453600350000,1296001,12096.018666666667,12096.030762685332,4233606533.3333335,4233610766.939866
16,483840350000,1382401,13708.819833333333,13708.833542153165,4798086941.666667,4798091739.753608
17,514080350000,1468801,15422.421,15422.436422420998,5397847350.0,5397852747.847349
18,544320350000,1555201,17236.822166666665,17236.83940348883,6032887758.333333,6032893791.22109
19,574560350000,1641601,19152.023333333334,19152.042485356666,6703208166.666667,6703214869.874833
20,604800350000,1728001,21168.0245,21168.045668024497,7408808575.0,7408815983.808574
21,635040350000,1814401,23284.825666666668,23284.84895149233,8149688983.333334,8149697133.022316
22,665280350000,1900801,25502.426833333335,25502.452335760165,8925849391.666668,8925858317.516058
23,695520350000,1987201,27820.828,27820.855820827997,9737289800.0,9737299537.289799
24,725760350000,2073601,30240.029166666667,30240.059406695833,10584010208.333334,10584020792.343542
25,756000350000,2160001,32760.030333333332,32760.063093363664,11466010616.666666,11466022082.677282
26,786240350000,2246401,35380.8315,35380.8668808315,12383291025.0,12383303408.291025
27,816480350000,2332801,38102.43266666667,38102.47076909933,13335851433.333334,13335864769.184767
28,846720350000,2419201,40924.83383333333,40924.87475816716,14323691841.666666,14323706165.358507
29,876960350000,2505601,43848.035,43848.078848035,15346812250.000002,15346827596.81225
30,907200350000,2592001,46872.036166666665,46872.083038702825,16405212658.333332,16405229063.545988
31,937440350000,2678401,49996.83733333334,49996.88733017066,17498893066.666668,17498910565.55973
32,967680350000,2764801,53222.4385,53222.49172243849,18627853475.0,18627872102.853474
33,997920350000,2851201,56548.83966666667,56548.89621550633,19792093883.333332,19792113675.427216
34,1028160350000,2937601,59976.04083333333,59976.10080937416,20991614291.666668,20991635283.280956
35,1058400350000,3024001,63504.042,63504.105504041996,22226414700.0,22226436926.4147
36,1088640350000,3110401,67132.84316666667,67132.91029950984,23496495108.333336,23496518604.82844
37,1118880350000,3196801,70862.44433333333,70862.51519577765,24801855516.666668,24801880318.52218
38,1149120350000,3283201,74692.8455,74692.92019284549,26142495925.0,26142522067.49592
39,1179360350000,3369601,78624.04666666666,78624.12529071332,27518416333.333332,27518443851.74966
40,1209600350000,3456001,82656.04783333333,82656.13048938116,28929616741.666664,28929645671.283405
41,1239840350000,3542401,86788.849,86788.93578884899,30376097150.0,30376127526.097145
42,1270080350000,3628801,91022.45016666666,91022.54118911682,31857857558.333332,31857889416.190887
43,1300320350000,3715201,95356.85133333334,95356.94669018466,33374897966.666668,33374931341.564632
44,1330560350000,3801601,99792.0525,99792.1522920525,34927218375.0,34927253302.218376
45,1360800350000,3888001,104328.05366666666,104328.15799472031,36514818783.33333,36514855298.15211
46,1391040350000,3974401,4463.198833333333,4463.203296532166,1562119591.6666665,1562121153.786258
47,1421280350000,4060801,4362.398833333334,4362.403195732167,1526839591.6666667,1526841118.5062582
48,1451520350000,4147201,4261.5988333333335,4261.603094932167,1491559591.6666667,1491561083.2262583
49,1481760350000,4233601,4160.798833333333,4160.8029941321665,1456279591.6666667,1456281047.9462583
50,1512000350000,4320001,4059.9988333333336,4060.0028933321664,1420999591.6666667,1421001012.6662583
51,1542240350000,4406401,3959.1988333333334,3959.2027925321663,1385719591.6666667,1385720977.3862581
52,1572480350000,4492801,3858.398833333333,3858.402691732166,1350439591.6666665,1350440942.1062582
53,1602720350000,4579201,3757.5988333333335,3757.6025909321665,1315159591.6666667,1315160906.8262582
54,1632960350000,4665601,3656.7988333333333,3656.8024901321664,1279879591.6666667,1279880871.5462582
55,1663200350000,4752001,3555.9988333333336,3556.002389332167,1244599591.6666667,1244600836.2662585
56,1693440350000,4838401,3455.1988333333334,3455.202288532166,1209319591.6666667,1209320800.9862583
57,1723680350000,4924801,3354.398833333333,3354.402187732166,1174039591.6666665,1174040765.706258
